"placedVMs","numVMs","allocRate","cpuUtilRate","ramUtilRate","netUtilRate","diskUtilRate"
"3","3","100.0","13.303337721675831","3.6562371999025345","11.550330370664597","5.399060994386673"
"6","6","100.0","20.25230387981104","8.944914489984512","20.889052748680115","13.996478915214539"
"9","9","100.0","25.23802885980536","16.627156734466553","31.682586669921875","20.271629095077515"
"12","12","100.0","31.782441467255225","19.904738664627075","43.166789412498474","25.335344672203064"
"13","15","86.66666746139526","34.90270786545858","20.584245026111603","44.805291295051575","29.485243558883667"
"13","18","72.22222089767456","34.90270786545858","20.584245026111603","44.805291295051575","29.485243558883667"
"13","21","61.90476417541504","34.90270786545858","20.584245026111603","44.805291295051575","29.485243558883667"
"13","24","54.16666865348816","34.90270786545858","20.584245026111603","44.805291295051575","29.485243558883667"
"3","3","100.0","3.616076116719273","7.147425413131714","5.233447998762131","9.340424090623856"
"6","6","100.0","12.874412274132816","15.874110162258148","10.734787583351135","17.647777497768402"
"9","9","100.0","19.064169369605683","21.668677031993866","16.561423242092133","31.3649982213974"
"12","12","100.0","23.45148306629534","34.27846431732178","21.21444046497345","37.691789865493774"
"15","15","100.0","31.27047840300901","46.59982919692993","28.460264205932617","49.006661772727966"
"18","18","100.0","39.84626609209819","57.24167227745056","32.124632596969604","61.214011907577515"
"19","21","90.47619104385376","43.20682218291694","62.167781591415405","33.406683802604675","67.0089840888977"
"19","24","79.16666865348816","43.20682218291694","62.167781591415405","33.406683802604675","67.0089840888977"
"3","3","100.0","5.5939575350219135","4.619030654430389","9.320662915706635","5.7656180113554"
"6","6","100.0","10.437634954704116","15.503901243209839","19.239789247512817","12.176793813705444"
"9","9","100.0","17.575744156556453","20.372912287712097","27.622321248054504","20.23089826107025"
"12","12","100.0","24.05430801016857","26.44544541835785","36.00485324859619","22.615021467208862"
"15","15","100.0","32.33806473397461","31.814244389533997","44.977760314941406","26.659151911735535"
"18","18","100.0","40.52873413698413","37.125781178474426","49.777597188949585","28.38405668735504"
"21","21","100.0","49.29033603231209","43.37588846683502","55.810755491256714","35.99070906639099"
"24","24","100.0","56.69612894208428","45.519089698791504","61.36676073074341","38.747140765190125"
"3","3","100.0","6.149796992405075","10.246667265892029","2.889251708984375","9.222880005836487"
"6","6","100.0","15.757304392141597","15.981926023960114","7.581912726163864","18.481262028217316"
"9","9","100.0","23.44931785173077","27.415192127227783","11.211511492729187","25.483235716819763"
"12","12","100.0","32.24985740530531","36.449626088142395","17.574699223041534","29.755425453186035"
"15","15","100.0","37.95735771749488","43.90913248062134","21.96742445230484","34.61932837963104"
"18","18","100.0","48.54215909180398","52.92319655418396","30.973082780838013","41.061145067214966"
"21","21","100.0","58.34153651267939","62.56723403930664","39.03337121009827","47.57396578788757"
"23","24","95.83333134651184","65.67652885700367","66.80253744125366","41.46702587604523","51.17948651313782"
"3","3","100.0","5.731159675104196","9.890837967395782","6.657171994447708","4.3708402663469315"
"6","6","100.0","18.877045730986737","16.028854250907898","12.54747360944748","12.373019754886627"
"9","9","100.0","29.6945887208813","21.760638058185577","19.97881978750229","18.818354606628418"
"12","12","100.0","38.41639236529449","29.47419285774231","24.38650280237198","25.454404950141907"
"15","15","100.0","47.98219875368217","33.923158049583435","29.122844338417053","32.5925350189209"
"18","18","100.0","57.206507139521875","37.51595318317413","37.21151053905487","38.275015354156494"
"21","21","100.0","60.991174317321054","48.20226728916168","42.32398569583893","42.427897453308105"
"24","24","100.0","72.74305215280941","55.38620948791504","50.087642669677734","47.70170748233795"
"3","3","100.0","4.058086256510939","8.915641158819199","9.21645537018776","10.498141497373581"
"6","6","100.0","9.526671000817617","16.296689212322235","23.61753135919571","22.349442541599274"
"8","9","88.88888955116272","14.842351734480589","22.867369651794434","26.666277647018433","33.910781145095825"
"8","12","66.66666865348816","14.842351734480589","22.867369651794434","26.666277647018433","33.910781145095825"
"9","15","60.00000238418579","15.892001937417277","24.688000977039337","27.72543728351593","41.09293818473816"
"9","18","50.0","15.892001937417277","24.688000977039337","27.72543728351593","41.09293818473816"
"9","21","42.85714328289032","15.892001937417277","24.688000977039337","27.72543728351593","41.09293818473816"
"9","24","37.5","15.892001937417277","24.688000977039337","27.72543728351593","41.09293818473816"
"3","3","100.0","9.952076336795026","12.616866827011108","20.062047243118286","8.873283118009567"
"6","6","100.0","14.327683134087426","19.894741475582123","34.85800623893738","15.869440138339996"
"8","9","88.88888955116272","17.92023316519033","24.108663201332092","39.81385827064514","21.332980692386627"
"11","12","91.66666865348816","25.961719205703552","36.04685068130493","51.34834051132202","28.382137417793274"
"14","15","93.33333373069763","33.51827125994857","43.05156469345093","65.8022403717041","36.5134060382843"
"15","18","83.33333134651184","36.58023095601216","49.89416301250458","67.16251969337463","38.757121562957764"
"15","21","71.42857313156128","36.58023095601216","49.89416301250458","67.16251969337463","38.757121562957764"
"15","24","62.5","36.58023095601216","49.89416301250458","67.16251969337463","38.757121562957764"
"3","3","100.0","12.769143066657627","5.275430902838707","3.7262946367263794","9.60380807518959"
"6","6","100.0","22.016378745300717","13.658608496189117","7.30472058057785","20.766250789165497"
"9","9","100.0","30.612583155658353","22.19284027814865","13.884884119033813","27.383452653884888"
"12","12","100.0","38.56493863620953","30.685627460479736","18.95308792591095","37.337252497673035"
"15","15","100.0","48.75155387130555","36.060988903045654","22.424308955669403","47.35172092914581"
"18","18","100.0","60.25082935918975","39.25365507602692","25.259694457054138","58.010172843933105"
"21","21","100.0","71.41906433717814","45.48311531543732","32.690104842185974","63.65672945976257"
"22","24","91.66666865348816","72.35055838914714","47.934651374816895","36.168718338012695","64.15138244628906"
"3","3","100.0","4.4501183689482815","7.103344053030014","6.242828443646431","9.691783040761948"
"6","6","100.0","6.748236530560995","17.948754131793976","12.560957670211792","19.661134481430054"
"8","9","88.88888955116272","13.078450595598229","21.580223739147186","16.085772216320038","23.45457673072815"
"11","12","91.66666865348816","21.34814591061871","27.134305238723755","21.758462488651276","34.07158851623535"
"12","15","80.0000011920929","22.63072194781042","30.91146945953369","23.920682072639465","37.24628388881683"
"12","18","66.66666865348816","22.63072194781042","30.91146945953369","23.920682072639465","37.24628388881683"
