"placedVMs","numVMs","allocRate","cpuUtilRate","ramUtilRate","netUtilRate","diskUtilRate"
"3","3","100.0","16.367612854608005","3.0504129827022552","9.554634988307953","4.768567159771919"
"6","6","100.0","26.760728305653426","9.660326689481735","17.063698172569275","13.419610261917114"
"9","9","100.0","43.13438487710952","17.72516965866089","25.445735454559326","21.864676475524902"
"12","12","100.0","59.21888737061488","22.051902115345","31.508469581604004","26.90528929233551"
"15","15","100.0","73.16278090298796","24.485717713832855","40.10135531425476","32.42392539978027"
"16","18","88.88888955116272","75.27912056365214","27.80277729034424","41.41451418399811","33.185651898384094"
"16","21","76.1904776096344","76.01739834987643","30.244478583335876","38.63653242588043","32.633787393569946"
"17","24","70.83333134651184","81.7277664405624","31.389909982681274","43.685728311538696","34.744083881378174"
"3","3","100.0","12.591381070425015","13.029409945011139","6.626564264297485","6.926814466714859"
"6","6","100.0","23.116241600978178","22.778017818927765","13.578151166439056","18.167394399642944"
"7","9","77.77777910232544","26.65480941168817","25.72963535785675","16.935092210769653","22.996826469898224"
"10","12","83.33333134651184","38.71907203425911","34.54708158969879","28.38362157344818","32.71023333072662"
"9","15","60.00000238418579","34.42309734589475","33.424267172813416","19.952459633350372","29.62118089199066"
"11","18","61.11111044883728","38.7416512072682","38.04086148738861","28.044047951698303","38.01071047782898"
"9","21","42.85714328289032","34.82713059851073","33.319178223609924","22.90676236152649","27.975010871887207"
"12","24","50.0","41.452300061901376","45.01776099205017","31.624138355255127","34.00436341762543"
"3","3","100.0","7.008403233779159","12.177176028490067","8.23545902967453","5.305353552103043"
"6","6","100.0","16.599114420412164","28.709876537322998","14.711524546146393","10.606326162815094"
"9","9","100.0","23.192526748127847","39.91694450378418","23.035889863967896","17.011302709579468"
"12","12","100.0","28.332142630116348","50.251901149749756","31.032708287239075","24.07342493534088"
"15","15","100.0","34.514880943909816","55.920326709747314","39.59103524684906","33.49688947200775"
"18","18","100.0","41.46787615548022","71.42046689987183","47.428759932518005","41.58853888511658"
"19","21","90.47619104385376","42.0121840722809","69.34182047843933","48.50030541419983","41.46587252616882"
"21","24","87.5","47.819495084909946","78.67488861083984","55.89349865913391","47.04722762107849"
"3","3","100.0","4.317508779092299","13.02647739648819","4.6851832419633865","4.696878045797348"
"6","6","100.0","8.705841979297022","21.195966005325317","10.245131701231003","9.591137617826462"
"9","9","100.0","12.856999162768956","29.519662261009216","18.80992352962494","16.71701967716217"
"12","12","100.0","15.01048757614217","39.1562819480896","25.01235604286194","25.240683555603027"
"13","15","86.66666746139526","17.821808833231266","43.206197023391724","31.9857656955719","25.566968321800232"
"14","18","77.77777910232544","20.13522908475559","46.88539803028107","33.073046803474426","26.429003477096558"
"14","21","66.66666865348816","17.45097169094045","40.87328910827637","31.343284249305725","26.884189248085022"
"16","24","66.66666865348816","22.993174939870244","48.36590886116028","38.83562386035919","33.812689781188965"
"3","3","100.0","7.311266163530405","2.673759125173092","9.18540209531784","6.953903287649155"
"6","6","100.0","14.078303467637014","10.272442549467087","15.000687539577484","18.142227828502655"
"6","9","66.66666865348816","17.562569125636085","10.103686153888702","16.69948250055313","15.770210325717926"
"12","12","100.0","33.803828180934026","21.016287803649902","28.774210810661316","33.13412070274353"
"13","15","86.66666746139526","36.52040473300504","23.686040937900543","31.66353702545166","33.44915509223938"
"16","18","88.88888955116272","42.27068251862383","33.039265871047974","40.560466051101685","40.06485939025879"
"20","21","95.23809552192688","47.88572425703574","43.73303949832916","50.4235565662384","49.83090162277222"
"20","24","83.33333134651184","48.257148649307524","44.234487414360046","53.56014370918274","47.18554615974426"
"3","3","100.0","10.401864841758638","6.732639670372009","10.23290827870369","6.98147788643837"
"6","6","100.0","25.269493245732676","13.13939094543457","26.8566757440567","13.406608998775482"
"9","9","100.0","40.09631635119813","15.537531673908234","34.58471894264221","18.45104843378067"
"12","12","100.0","58.35213150240355","21.192391216754913","47.749388217926025","22.986634075641632"
"15","15","100.0","74.67575634403542","26.76195204257965","62.3077392578125","27.86824107170105"
"17","18","94.44444179534912","84.21801597507627","33.95475149154663","71.86263799667358","32.217246294021606"
"18","21","85.71428656578064","85.06003132896123","35.90478003025055","75.9809136390686","35.44677495956421"
"18","24","75.0","82.41180707254865","35.49341261386871","73.58905076980591","32.56326615810394"
"3","3","100.0","6.836583242781071","13.144665956497192","5.933309718966484","9.145914018154144"
"6","6","100.0","10.129903091386694","24.915313720703125","16.07135832309723","17.783233523368835"
"9","9","100.0","20.66072914032931","29.850831627845764","23.594795167446136","26.056647300720215"
"11","12","91.66666865348816","25.372454484218814","37.178805470466614","30.33503293991089","32.10276961326599"
"15","15","100.0","38.587133794104425","50.89285969734192","41.45801067352295","38.99509012699127"
"16","18","88.88888955116272","41.083915409067835","54.17191982269287","42.003875970840454","39.494913816452026"
"17","21","80.95238208770752","40.51990187544512","54.810768365859985","43.25382709503174","39.81059193611145"
"17","24","70.83333134651184","40.56241157885188","55.30213713645935","43.245914578437805","41.840583086013794"
"3","3","100.0","6.783460114503558","4.123262315988541","7.809516042470932","8.91605019569397"
"5","6","83.33333134651184","13.200447297907015","7.776733487844467","12.056796252727509","16.424815356731415"
"8","9","88.88888955116272","18.999073635354456","15.548694133758545","21.593457460403442","24.52278882265091"
"12","12","100.0","26.05107541115068","25.532540678977966","29.49846386909485","32.59154558181763"
"11","15","73.33333492279053","24.091725939069917","22.051872313022614","27.9249370098114","31.992599368095398"
"17","18","94.44444179534912","38.87183539219799","33.84139835834503","41.68396592140198","47.84768223762512"
"16","21","76.1904776096344","35.165064422393314","34.032273292541504","38.04284632205963","40.1246577501297"
"17","24","70.83333134651184","41.01446658457456","36.14090979099274","35.64726412296295","44.79450583457947"
"3","3","100.0","5.213304099158654","8.890414983034134","4.560635983943939","5.78402504324913"
"6","6","100.0","15.277938477521749","16.374826431274414","11.2079918384552","13.818976283073425"
"8","9","88.88888955116272","19.622447314824274","18.697135150432587","15.24251401424408","14.939689636230469"
"12","12","100.0","34.492517739234586","28.557637333869934","23.12239557504654","28.174564242362976"
"11","15","73.33333492279053","34.84630999230739","28.427568078041077","20.083941519260406","23.254820704460144"
"12","18","66.66666865348816","38.181581404896065","29.020175337791443","21.919427812099457","26.165828108787537"
"16","21","76.1904776096344","50.12386117672233","43.871575593948364","25.498774647712708","32.34400153160095"
"15","24","62.5","50.52863088497928","42.91980564594269","30.11852204799652","30.976352095603943"
"3","3","100.0","7.541883792142808","9.044938534498215","6.321638077497482","6.606350094079971"
