"placedVMs","numVMs","allocRate","cpuUtilRate","ramUtilRate","netUtilRate","diskUtilRate"
"3","3","100.0","13.303337721675831","3.6562371999025345","11.550330370664597","5.399060994386673"
"6","6","100.0","20.25230387981104","8.944914489984512","20.889052748680115","13.996478915214539"
"9","9","100.0","25.23802885980536","16.627156734466553","31.682586669921875","20.271629095077515"
"10","12","83.33333134651184","26.85830816489842","18.211017549037933","33.769288659095764","20.812374353408813"
"10","15","66.66666865348816","26.85830816489842","18.211017549037933","33.769288659095764","20.812374353408813"
"10","18","55.55555820465088","26.85830816489842","18.211017549037933","33.769288659095764","20.812374353408813"
"10","21","47.61904776096344","26.85830816489842","18.211017549037933","33.769288659095764","20.812374353408813"
"10","24","41.66666567325592","26.85830816489842","18.211017549037933","33.769288659095764","20.812374353408813"
"3","3","100.0","3.616076116719273","7.147425413131714","5.233447998762131","9.340424090623856"
"6","6","100.0","12.874412274132816","15.874110162258148","10.734787583351135","17.647777497768402"
"9","9","100.0","19.064169369605683","21.668677031993866","16.561423242092133","31.3649982213974"
"9","12","75.0","19.064169369605683","21.668677031993866","16.561423242092133","31.3649982213974"
"10","15","66.66666865348816","21.927213478910655","24.335315823554993","18.63439232110977","32.03741014003754"
"12","18","66.66666865348816","26.100416802138444","33.25982689857483","21.43130451440811","39.44617509841919"
"12","21","57.14285969734192","26.100416802138444","33.25982689857483","21.43130451440811","39.44617509841919"
"12","24","50.0","26.100416802138444","33.25982689857483","21.43130451440811","39.44617509841919"
"3","3","100.0","5.5939575350219135","4.619030654430389","9.320662915706635","5.7656180113554"
"6","6","100.0","10.437634954704116","15.503901243209839","19.239789247512817","12.176793813705444"
"9","9","100.0","17.575744156556453","20.372912287712097","27.622321248054504","20.23089826107025"
"12","12","100.0","24.05430801016857","26.44544541835785","36.00485324859619","22.615021467208862"
"15","15","100.0","32.33806473397461","31.814244389533997","44.977760314941406","26.659151911735535"
"18","18","100.0","40.52873413698413","37.125781178474426","49.777597188949585","28.38405668735504"
"21","21","100.0","49.29033603231209","43.37588846683502","55.810755491256714","35.99070906639099"
"24","24","100.0","56.69612894208428","45.519089698791504","61.36676073074341","38.747140765190125"
"3","3","100.0","6.149796992405075","10.246667265892029","2.889251708984375","9.222880005836487"
"6","6","100.0","15.757304392141597","15.981926023960114","7.581912726163864","18.481262028217316"
"9","9","100.0","23.44931785173077","27.415192127227783","11.211511492729187","25.483235716819763"
"12","12","100.0","32.24985740530531","36.449626088142395","17.574699223041534","29.755425453186035"
"15","15","100.0","37.95735771749488","43.90913248062134","21.96742445230484","34.61932837963104"
"18","18","100.0","48.54215909180398","52.92319655418396","30.973082780838013","41.061145067214966"
"21","21","100.0","58.34153651267939","62.56723403930664","39.03337121009827","47.57396578788757"
"22","24","91.66666865348816","60.98029774447256","64.54017162322998","39.75093960762024","48.04733693599701"
"3","3","100.0","5.731159675104196","9.890837967395782","6.657171994447708","4.3708402663469315"
"6","6","100.0","18.877045730986737","16.028854250907898","12.54747360944748","12.373019754886627"
"9","9","100.0","29.6945887208813","21.760638058185577","19.97881978750229","18.818354606628418"
"12","12","100.0","38.41639236529449","29.47419285774231","24.38650280237198","25.454404950141907"
"15","15","100.0","47.98219875368217","33.923158049583435","29.122844338417053","32.5925350189209"
"15","18","83.33333134651184","47.98219875368217","33.923158049583435","29.122844338417053","32.5925350189209"
"15","21","71.42857313156128","47.98219875368217","33.923158049583435","29.122844338417053","32.5925350189209"
"15","24","62.5","47.98219875368217","33.923158049583435","29.122844338417053","32.5925350189209"
"3","3","100.0","4.058086256510939","8.915641158819199","9.21645537018776","10.498141497373581"
"5","6","83.33333134651184","8.580366986893079","14.33059275150299","18.585054576396942","18.416357040405273"
"7","9","77.77777910232544","13.896047720556048","20.90127468109131","21.633799374103546","29.977694153785706"
"10","12","83.33333134651184","23.99625985220718","27.95095443725586","34.55439209938049","41.30854904651642"
"10","15","66.66666865348816","23.99625985220718","27.95095443725586","34.55439209938049","41.30854904651642"
"11","18","61.11111044883728","26.874067013571416","31.37206733226776","37.6089870929718","44.7211891412735"
"12","21","57.14285969734192","29.339180120233838","34.33127403259277","40.16618728637695","48.20074439048767"
"12","24","50.0","29.339180120233838","34.33127403259277","40.16618728637695","48.20074439048767"
"3","3","100.0","9.952076336795026","12.616866827011108","20.062047243118286","8.873283118009567"
"6","6","100.0","14.327683134087426","19.894741475582123","34.85800623893738","15.869440138339996"
"9","9","100.0","18.39016799443442","30.570292472839355","40.919578075408936","24.87080991268158"
"11","12","91.66666865348816","23.000490282522883","37.36136257648468","48.74711632728577","29.132989048957825"
"11","15","73.33333492279053","23.000490282522883","37.36136257648468","48.74711632728577","29.132989048957825"
"12","18","66.66666865348816","25.121727654841102","44.740211963653564","52.652931213378906","30.246013402938843"
"12","21","57.14285969734192","25.121727654841102","44.740211963653564","52.652931213378906","30.246013402938843"
"12","24","50.0","25.121727654841102","44.740211963653564","52.652931213378906","30.246013402938843"
"3","3","100.0","12.769143066657627","5.275430902838707","3.7262946367263794","9.60380807518959"
"4","6","66.66666865348816","17.58080758615667","7.968560606241226","4.776163399219513","14.135050773620605"
"5","9","55.55555820465088","20.4165756317821","9.76388305425644","6.354663521051407","14.975033700466156"
"5","12","41.66666567325592","20.4165756317821","9.76388305425644","6.354663521051407","14.975033700466156"
"5","15","33.33333432674408","20.4165756317821","9.76388305425644","6.354663521051407","14.975033700466156"
"5","18","27.77777910232544","20.4165756317821","9.76388305425644","6.354663521051407","14.975033700466156"
"5","21","23.80952388048172","20.4165756317821","9.76388305425644","6.354663521051407","14.975033700466156"
"5","24","20.83333283662796","20.4165756317821","9.76388305425644","6.354663521051407","14.975033700466156"
"3","3","100.0","4.4501183689482815","7.103344053030014","6.242828443646431","9.691783040761948"
"6","6","100.0","6.748236530560995","17.948754131793976","12.560957670211792","19.661134481430054"
"9","9","100.0","13.529896984608014","22.316329181194305","17.229633033275604","28.57803702354431"
"12","12","100.0","21.799592299628497","27.870413661003113","22.902323305606842","39.195048809051514"
"15","15","100.0","28.018140074837415","34.82612073421478","28.33835482597351","49.23379421234131"
