2,84
2,99
3,75
3,81
3,93
4,63
4,81
5,69
5,93
5,99
6,63
6,78
6,96
6,99
7,81
7,84
7,99
9,57
9,60
9,63
9,75
9,81
9,87
9,96
9,99
11,60
11,63
11,81
11,87
13,63
13,66
13,69
13,72
13,81
13,90
13,93
13,96
13,99
15,90
15,93
16,99
17,54
17,84
17,87
17,93
18,60
18,75
18,99
20,57
20,60
20,63
20,66
20,72
20,75
20,81
20,84
20,93
20,96
20,99
21,93
21,96
21,99
22,87
23,60
24,84
24,87
24,90
25,63
25,72
25,75
25,81
25,84
25,99
26,54
26,57
26,63
26,66
26,69
26,72
26,78
26,81
26,84
26,87
26,90
26,93
26,96
26,99
30,66
30,78
30,84
30,93
31,57
31,63
31,72
31,75
31,78
31,81
31,84
31,87
31,90
31,96
31,99
32,72
32,78
33,51
33,54
34,57
34,63
34,72
34,84
34,87
34,99
36,81
37,81
37,84
37,87
37,90
38,69
38,75
38,99
39,66
39,69
39,96
41,72
41,78
41,87
41,90
41,96
46,72
46,75
46,84
46,87
46,90
50,60
50,66
50,69
50,75
50,78
50,87
50,90
50,99
51,93
51,96
51,99
53,87
54,57
54,90
55,60
55,78
55,90
55,99
56,69
56,81
57,75
58,96
58,99
59,66
59,69
61,57
61,60
61,63
61,84
61,87
61,99
62,63
62,72
62,84
62,90
62,96
63,57
63,60
63,72
63,75
63,78
63,81
63,90
64,54
64,63
64,66
64,69
64,75
64,78
65,54
65,60
65,63
65,66
65,78
65,90
65,93
65,96
65,99
69,81
69,96
70,66
70,69
70,72
70,93
70,99
71,78
71,90
72,63
72,84
72,99
75,60
75,66
75,75
75,78
75,84
75,90
75,93
75,96
75,99
76,87
76,90
76,93
77,66
77,69
77,90
77,93
78,75
79,63
83,63
83,66
83,99
84,99
85,51
85,63
85,66
85,69
85,87
85,90
86,63
87,75
87,96
88,60
88,66
88,69
88,72
88,75
88,78
88,90
88,93
88,96
88,99
89,81
89,96
91,78
91,90
91,96
91,99
92,81
92,84
93,66
93,87
94,78
94,90
95,63
95,69
95,75
95,84
95,87
95,93
95,96
96,72
96,75
96,96
96,99
97,87
97,90
98,60
98,84
99,69
99,72
99,78
99,93
100,99
102,93
104,66
104,96
109,87
109,90
109,99
110,51
110,54
110,72
112,87
112,90
112,93
112,96
112,99
113,72
113,75
113,81
113,84
114,99
116,81
116,84
119,72
119,78
119,81
120,60
120,63
120,66
120,96
122,78
122,81
125,78
125,81
125,90
125,93
126,75
126,78
126,96
127,87
127,99
128,78
128,96
128,99
129,96
129,99
130,60
130,63
130,69
130,78
130,84
130,87
130,90
130,93
130,99
131,63
131,66
131,75
131,84
131,90
131,99
133,66
133,72
133,84
133,87
133,96
135,84
135,87
138,87
138,96
138,99
139,96
139,99
140,72
141,81
141,93
141,96
141,99
142,90
142,99
144,84
144,87
144,96
145,72
145,93
145,96
145,99
146,90
146,93
146,96
146,99
147,69
147,72
148,57
148,60
148,66
148,72
148,78
148,81
148,87
148,90
148,93
148,96
148,99
149,60
149,78
149,81
150,69
150,96
151,75
151,90
151,93
151,96
151,99
152,57
152,60
152,63
152,84
152,90
154,87
154,99
155,54
155,75
155,78
155,81
155,84
155,93
155,96
156,84
156,87
156,90
157,78
158,81
158,96
159,54
159,57
159,63
159,66
160,51
160,72
160,99
161,63
163,93
163,96
163,99
165,57
165,84
165,87
165,99
166,69
167,87
167,99
168,51
168,72
168,75
168,78
168,84
168,93
171,84
171,90
171,93
171,96
172,69
173,63
174,60
174,66
174,69
174,75
174,78
174,81
174,84
174,87
174,96
174,99
175,99
177,90
179,69
180,66
180,93
180,96
180,99
183,75
183,78
183,84
183,87
183,90
183,93
187,69
188,60
188,78
188,81
